sigla_uf,cod_ibge_uf,nome_uf,produto,ano,lavoura,area_plantada_ha,area_colhida_ha,producao_t,rendimento_kg_ha,valor_producao_mil_brl,peso_producao_uf
AC,12,Acre,arroz,2014,temporaria,7109,6154,7490,1217.0,4883,0.0006151646546922279
AL,27,Alagoas,arroz,2014,temporaria,2751,2751,16809,6110.0,10264,0.0013805477544354685
AM,13,Amazonas,arroz,2014,temporaria,2961,2754,7114,2583.0,8255,0.000584283224763753
AP,16,Amapá,arroz,2014,temporaria,2019,1900,2173,1144.0,1330,0.00017847166817706428
BA,29,Bahia,arroz,2014,temporaria,9275,9275,10214,1101.0,7692,0.0008388907587485202
CE,23,Ceará,arroz,2014,temporaria,13225,13201,39798,3015.0,30049,0.003268667947588957
DF,53,Distrito Federal,arroz,2014,temporaria,,,,,,
ES,32,Espírito Santo,arroz,2014,temporaria,536,535,1369,2559.0,1214,0.00011243797226617624
GO,52,Goiás,arroz,2014,temporaria,32266,32216,126941,3940.0,88761,0.010425849990825915
MA,21,Maranhão,arroz,2014,temporaria,389418,389418,586998,1507.0,409823,0.04821100426902916
MG,31,Minas Gerais,arroz,2014,temporaria,19329,17759,38688,2179.0,30124,0.003177502024129895
MS,50,Mato Grosso do Sul,arroz,2014,temporaria,15003,15003,94020,6267.0,63926,0.007722000111370263
MT,51,Mato Grosso,arroz,2014,temporaria,180935,180680,581439,3218.0,366592,0.04775443546857067
PA,15,Pará,arroz,2014,temporaria,80126,80039,192072,2400.0,123004,0.015775154279845875
PB,25,Paraíba,arroz,2014,temporaria,1862,1562,1009,646.0,1038,8.287064573891295e-05
PE,26,Pernambuco,arroz,2014,temporaria,560,558,3157,5658.0,3544,0.00025928902735158395
PI,22,Piauí,arroz,2014,temporaria,105941,104079,144309,1387.0,113287,0.011852309232841219
PR,41,Paraná,arroz,2014,temporaria,29517,29059,164956,5677.0,143348,0.013548077540642344
RJ,33,Rio de Janeiro,arroz,2014,temporaria,841,826,2858,3460.0,2379,0.00023473172004144025
RN,24,Rio Grande do Norte,arroz,2014,temporaria,1697,1681,3910,2326.0,5282,0.0003211340186711096
RO,11,Rondônia,arroz,2014,temporaria,47820,47795,134834,2821.0,88781,0.011074113624936164
RR,14,Roraima,arroz,2014,temporaria,12000,12000,78612,6551.0,58124,0.006456518536003394
RS,43,Rio Grande do Sul,arroz,2014,temporaria,1114132,1113532,8241840,7402.0,5663989,0.6769143735151658
SC,42,Santa Catarina,arroz,2014,temporaria,149869,149869,1082441,7223.0,736588,0.08890246248193724
SE,28,Sergipe,arroz,2014,temporaria,5794,5768,41714,7232.0,25378,0.003426031829884058
SP,35,São Paulo,arroz,2014,temporaria,13734,13724,59802,4357.0,44734,0.004911625724953887
TO,17,Tocantins,arroz,2014,temporaria,108740,108740,511035,4700.0,333294,0.04197205197738888
AC,12,Acre,arroz,2015,temporaria,6089,5327,7144,1341.0,5057,0.0005807563017627303
AL,27,Alagoas,arroz,2015,temporaria,3041,3041,17301,5689.0,10502,0.0014064480370656492
AM,13,Amazonas,arroz,2015,temporaria,1964,1954,4099,2098.0,4306,0.0003332194962101668
AP,16,Amapá,arroz,2015,temporaria,1656,1650,1600,970.0,1041,0.0001300686006187526
BA,29,Bahia,arroz,2015,temporaria,7540,7540,8357,1108.0,6384,0.0006793645596068222
CE,23,Ceará,arroz,2015,temporaria,8898,8801,24601,2795.0,20688,0.001999886027388708
DF,53,Distrito Federal,arroz,2015,temporaria,,,,,,
ES,32,Espírito Santo,arroz,2015,temporaria,349,305,782,2564.0,870,6.357102855241533e-05
GO,52,Goiás,arroz,2015,temporaria,25558,25258,108938,4313.0,63666,0.008855883258878544
MA,21,Maranhão,arroz,2015,temporaria,239004,239004,314486,1316.0,224903,0.02556547120886814
MG,31,Minas Gerais,arroz,2015,temporaria,11415,10139,24568,2423.0,20616,0.001997203362500946
MS,50,Mato Grosso do Sul,arroz,2015,temporaria,16151,16151,99287,6147.0,70262,0.008071325718521306
MT,51,Mato Grosso,arroz,2015,temporaria,187817,187757,607759,3237.0,409357,0.049406476652157784
PA,15,Pará,arroz,2015,temporaria,66255,66255,168368,2541.0,109799,0.013687118843111336
PB,25,Paraíba,arroz,2015,temporaria,1129,977,360,368.0,401,2.9265435139219333e-05
PE,26,Pernambuco,arroz,2015,temporaria,324,305,1825,5984.0,1839,0.00014835949758076468
PI,22,Piauí,arroz,2015,temporaria,91183,77237,99945,1294.0,77699,0.008124816430525768
PR,41,Paraná,arroz,2015,temporaria,27609,27594,163907,5940.0,134635,0.013324471326011176
RJ,33,Rio de Janeiro,arroz,2015,temporaria,354,214,690,3224.0,678,5.609208401683706e-05
RN,24,Rio Grande do Norte,arroz,2015,temporaria,933,866,2432,2808.0,4000,0.00019770427294050393
RO,11,Rondônia,arroz,2015,temporaria,43574,43569,122321,2808.0,76357,0.009943825810179023
RR,14,Roraima,arroz,2015,temporaria,7964,7964,53003,6655.0,64905,0.00430876627412234
RS,43,Rio Grande do Sul,arroz,2015,temporaria,1127916,1121675,8679489,7738.0,6121135,0.7055806176974102
SC,42,Santa Catarina,arroz,2015,temporaria,148706,148705,1081537,7273.0,738792,0.08792125256712739
SE,28,Sergipe,arroz,2015,temporaria,4724,4087,25164,6157.0,16831,0.0020456539162314316
SP,35,São Paulo,arroz,2015,temporaria,12199,12196,62022,5085.0,44592,0.005041946717235171
TO,17,Tocantins,arroz,2015,temporaria,119826,119826,621216,5184.0,432981,0.05050043487623688
AC,12,Acre,arroz,2016,temporaria,4986,4884,6375,1305.0,5272,0.0006001587808313333
AL,27,Alagoas,arroz,2016,temporaria,2743,2733,15249,5580.0,13614,0.0014355798037485495
AM,13,Amazonas,arroz,2016,temporaria,361,357,819,2294.0,1041,7.710275160797835e-05
AP,16,Amapá,arroz,2016,temporaria,1470,1367,1312,960.0,1076,0.0001235150306589348
BA,29,Bahia,arroz,2016,temporaria,7074,7074,7247,1024.0,6035,0.0006822510877936742
CE,23,Ceará,arroz,2016,temporaria,6143,6050,14373,2376.0,16443,0.001353110926570785
DF,53,Distrito Federal,arroz,2016,temporaria,,,,,,
ES,32,Espírito Santo,arroz,2016,temporaria,198,198,491,2480.0,531,4.622399394324465e-05
GO,52,Goiás,arroz,2016,temporaria,23662,22705,108194,4765.0,84650,0.01018565947188475
MA,21,Maranhão,arroz,2016,temporaria,168407,159414,152216,955.0,131284,0.014330002977728979
MG,31,Minas Gerais,arroz,2016,temporaria,7424,6143,15283,2488.0,14180,0.0014387806505796498
MS,50,Mato Grosso do Sul,arroz,2016,temporaria,14887,13267,75871,5719.0,60344,0.007142689703600642
MT,51,Mato Grosso,arroz,2016,temporaria,174263,169414,501045,2958.0,394247,0.04716965589672713
PA,15,Pará,arroz,2016,temporaria,72973,72766,181660,2496.0,149324,0.017101936333461965
PB,25,Paraíba,arroz,2016,temporaria,823,738,144,195.0,273,1.3556527755248942e-05
PE,26,Pernambuco,arroz,2016,temporaria,359,342,2207,6453.0,5899,0.0002077726163599612
PI,22,Piauí,arroz,2016,temporaria,75681,60849,43488,715.0,39165,0.004094071382085181
PR,41,Paraná,arroz,2016,temporaria,25673,25673,119001,4635.0,104651,0.011203058051405411
RJ,33,Rio de Janeiro,arroz,2016,temporaria,251,251,856,3410.0,905,8.058602610064648e-05
RN,24,Rio Grande do Norte,arroz,2016,temporaria,808,739,3244,4390.0,4347,0.00030539844470852474
RO,11,Rondônia,arroz,2016,temporaria,43980,43848,138175,3151.0,95252,0.01300814737903835
RR,14,Roraima,arroz,2016,temporaria,9878,9878,67556,6839.0,60857,0.006359894368288871
RS,43,Rio Grande do Sul,arroz,2016,temporaria,1088566,1062487,7493431,7053.0,6019578,0.7054507314829364
SC,42,Santa Catarina,arroz,2016,temporaria,147483,147436,1050859,7128.0,917610,0.09893055000245242
SE,28,Sergipe,arroz,2016,temporaria,4580,4580,33058,7218.0,26299,0.003112164545368191
SP,35,São Paulo,arroz,2016,temporaria,10996,10996,60860,5535.0,55606,0.005729515827669796
TO,17,Tocantins,arroz,2016,temporaria,110974,109749,529175,4822.0,517447,0.049817885936693465
AC,12,Acre,arroz,2017,temporaria,4680,4680,6259,1337.0,5225,0.0005021353790355952
AL,27,Alagoas,arroz,2017,temporaria,3775,2548,16229,6369.0,11880,0.0013019899450980468
AM,13,Amazonas,arroz,2017,temporaria,322,316,744,2354.0,1071,5.968824444839157e-05
