sigla_uf,cod_ibge_uf,nome_uf,produto,ano_mes,ano_safra,area_plantada_ha,area_colhida_ha,producao_t,rendimento_kg_ha,revisao_pct_prod
AC,12,Acre,arroz,2014-01-01,2014,9503,9503,13029,1371.0,
AC,12,Acre,arroz,2014-02-01,2014,9434,9434,12923,1370.0,-0.8135697290659327
AC,12,Acre,arroz,2014-03-01,2014,9434,9434,12923,1370.0,0.0
AC,12,Acre,arroz,2014-04-01,2014,9434,9434,13179,1397.0,1.9809641724057858
AC,12,Acre,arroz,2014-05-01,2014,9434,9434,13179,1397.0,0.0
AC,12,Acre,arroz,2014-06-01,2014,9434,9434,13181,1397.0,0.015175658244181989
AC,12,Acre,arroz,2014-07-01,2014,9434,9434,13181,1397.0,0.0
AC,12,Acre,arroz,2014-08-01,2014,7509,7024,9019,1284.0,-31.57575297777103
AC,12,Acre,arroz,2014-09-01,2014,7509,7024,9019,1284.0,0.0
AC,12,Acre,arroz,2014-10-01,2014,7509,7024,9019,1284.0,0.0
AC,12,Acre,arroz,2014-11-01,2014,7509,7024,9019,1284.0,0.0
AC,12,Acre,arroz,2014-12-01,2014,7446,6380,8058,1263.0,-10.655283290830464
AC,12,Acre,arroz,2015-01-01,2015,6691,6383,8153,1277.0,
AC,12,Acre,arroz,2015-02-01,2015,6691,6533,8220,1258.0,0.8217833926162044
AC,12,Acre,arroz,2015-03-01,2015,6691,6533,8627,1321.0,4.951338199513389
AC,12,Acre,arroz,2015-04-01,2015,6661,6134,7692,1254.0,-10.838066535296164
AC,12,Acre,arroz,2015-05-01,2015,6661,6064,7613,1255.0,-1.0270410816432651
AC,12,Acre,arroz,2015-06-01,2015,6661,6064,7613,1255.0,0.0
AC,12,Acre,arroz,2015-07-01,2015,6661,6064,7613,1255.0,0.0
AC,12,Acre,arroz,2015-08-01,2015,6661,6064,7613,1255.0,0.0
AC,12,Acre,arroz,2015-09-01,2015,6661,6064,7613,1255.0,0.0
AC,12,Acre,arroz,2015-10-01,2015,6661,6064,7610,1255.0,-0.03940627873374458
AC,12,Acre,arroz,2015-11-01,2015,6612,5892,7884,1338.0,3.6005256241787187
