produto;classificao_produto;id_produto;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
00-18-18                 ;NÃO INFORMADO       ;10224;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,32
00-18-18                 ;NÃO INFORMADO       ;10224;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;2,41
00-20-20                 ;NÃO INFORMADO       ;4466;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,39
00-20-30                 ;NÃO INFORMADO       ;8147;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,92
02-20-18                 ;NÃO INFORMADO       ;14915;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,95
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,86
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,82
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,36
02-20-20                 ;NÃO INFORMADO       ;4476;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,75
02-20-20                 ;NÃO INFORMADO       ;4476;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,02
02-23-23                 ;NÃO INFORMADO       ;11824;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,93
02-23-23                 ;NÃO INFORMADO       ;11824;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,18
02-28-16                 ;NÃO INFORMADO       ;13762;GO        ;CENTRO-OESTE   ;2025;12;PREÇO PAGO PELO PRODUTOR                                    ;3,12
02-28-20                 ;NÃO INFORMADO       ;12700;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,7
03-21-21                 ;YARA YARA BASA ROBUS;14765;PR        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;4,18
03-21-21                 ;YARA YARA BASA ROBUS;14765;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,04
03-30-15                 ;NÃO INFORMADO       ;4479;SC        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,89
04-14-07                 ;NÃO INFORMADO       ;13001;ES        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,8
04-14-08                 ;NÃO INFORMADO       ;4480;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;2,53
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;MG        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,2
04-14-08                 ;NÃO INFORMADO       ;4480;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,56
04-14-08                 ;NÃO INFORMADO       ;4480;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,67
04-14-08                 ;NÃO INFORMADO       ;4480;RJ        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,4
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE       ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;2,8
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE          ;2026;2;PREÇO PAGO PELO PRODUTOR                                    ;2,56
04-20-20                 ;NÃO INFORMADO       ;4482;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;2,56
04-24-12                 ;NÃO INFORMADO       ;4486;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;2,98
04-30-05                 ;NÃO INFORMADO       ;10443;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,56
04-30-05                 ;NÃO INFORMADO       ;10443;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;2,67
04-30-10                 ;NÃO INFORMADO       ;4488;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,65
04-30-10                 ;NÃO INFORMADO       ;4488;SP        ;SUDESTE        ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,5
04-30-10                 ;NÃO INFORMADO       ;4488;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;5,54
04-30-10                 ;NÃO INFORMADO       ;4488;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,9
05-15-10                 ;NÃO INFORMADO       ;10862;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,4
05-15-10                 ;NÃO INFORMADO       ;10862;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;2,44
05-20-10                 ;NÃO INFORMADO       ;4491;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,74
05-20-10                 ;NÃO INFORMADO       ;4491;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,85
05-20-20                 ;NÃO INFORMADO       ;4492;RS        ;SUL            ;2025;8;PREÇO PAGO PELO PRODUTOR                                    ;3,28
05-20-20                 ;NÃO INFORMADO       ;4492;RS        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;2,92
05-20-20                 ;NÃO INFORMADO       ;4492;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,1
05-20-20                 ;NÃO INFORMADO       ;4492;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,76
05-20-20                 ;NÃO INFORMADO       ;4492;SC        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;3,1
05-20-20                 ;NÃO INFORMADO       ;4492;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,0
05-20-20                 ;NÃO INFORMADO       ;4492;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,4
05-20-20                 ;NÃO INFORMADO       ;4492;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,3
05-20-30                 ;NÃO INFORMADO       ;7118;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;3,25
05-20-30                 ;NÃO INFORMADO       ;7118;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;3,45
06-24-12                 ;NÃO INFORMADO       ;12693;PE        ;NORDESTE       ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;5,04
06-40-08                 ;NÃO INFORMADO       ;14019;TO        ;NORTE          ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;4,84
06-40-08                 ;NÃO INFORMADO       ;14019;TO        ;NORTE          ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,75
07-14-28                 ;NÃO INFORMADO       ;11947;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;4,2
08-16-16                 ;NÃO INFORMADO       ;10489;MT        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;2,68
08-16-24                 ;NÃO INFORMADO       ;14865;RS        ;SUL            ;2025;10;PREÇO PAGO PELO PRODUTOR                                    ;2,7
08-20-15                 ;NÃO INFORMADO       ;6777;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,2
08-20-15                 ;NÃO INFORMADO       ;6777;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;2,94
