produto;classificao_produto;id_produto;nom_municipio;cod_ibge;uf;regiao;ano;mes;data_inicial_final_semana;semana;dsc_nivel_comercializacao;valor_produto_kg
00-18-18                 ;NÃO INFORMADO       ;10224;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE             ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,32
00-18-18                 ;NÃO INFORMADO       ;10224;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE             ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,32
00-18-18                 ;NÃO INFORMADO       ;10224;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE             ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,32
00-18-18                 ;NÃO INFORMADO       ;10224;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE             ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,32
00-18-18                 ;NÃO INFORMADO       ;10224;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE             ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;2,41
00-18-18                 ;NÃO INFORMADO       ;10224;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE             ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;2,41
00-18-18                 ;NÃO INFORMADO       ;10224;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE             ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;2,41
00-18-18                 ;NÃO INFORMADO       ;10224;SORRISO-MT                                        ;5107925                       ;MT        ;CENTRO-OESTE             ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;2,41
00-20-20                 ;NÃO INFORMADO       ;4466;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE             ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,39
00-20-20                 ;NÃO INFORMADO       ;4466;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE             ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,39
00-20-20                 ;NÃO INFORMADO       ;4466;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE             ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,39
00-20-20                 ;NÃO INFORMADO       ;4466;CAMPO NOVO DO PARECIS-MT                          ;5102637                       ;MT        ;CENTRO-OESTE             ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,39
00-20-30                 ;NÃO INFORMADO       ;8147;IJUÍ-RS                                           ;4310207                       ;RS        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,92
00-20-30                 ;NÃO INFORMADO       ;8147;IJUÍ-RS                                           ;4310207                       ;RS        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,92
00-20-30                 ;NÃO INFORMADO       ;8147;IJUÍ-RS                                           ;4310207                       ;RS        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,92
00-20-30                 ;NÃO INFORMADO       ;8147;IJUÍ-RS                                           ;4310207                       ;RS        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,92
02-20-18                 ;NÃO INFORMADO       ;14915;CASCAVEL-PR                                       ;4104808                       ;PR        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,95
