municipio_ceasa;cod_ibge_municipio;uf_ceasa;dsc_ceasa;dsc_produto;sig_unidade_medida;data_preco;preco_diario
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/08 00:00:00.000;5.8
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/15 00:00:00.000;5.17
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/20 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/13 00:00:00.000;5.17
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/25 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/08 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/22 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/15 00:00:00.000;6.03
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/06 00:00:00.000;5.8
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/18 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/06 00:00:00.000;5.8
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/11 00:00:00.000;5.8
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/29 00:00:00.000;5.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/17 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/15 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/12 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/10 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/19 00:00:00.000;6.17
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/29 00:00:00.000;6.43
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/24 00:00:00.000;6.17
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/22 00:00:00.000;6.17
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/27 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/26 00:00:00.000;6.43
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/22 00:00:00.000;5.67
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/13 00:00:00.000;5.62
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/15 00:00:00.000;5.62
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/03 00:00:00.000;5.62
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/08 00:00:00.000;5.62
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/10 00:00:00.000;5.62
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/17 00:00:00.000;5.67
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/04 00:00:00.000;5.8
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/07/01 00:00:00.000;5.67
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/20 00:00:00.000;5.67
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/27 00:00:00.000;5.67
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/24 00:00:00.000;5.67
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/31 00:00:00.000;6.43
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/03 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/23 00:00:00.000;7.19
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/05 00:00:00.000;6.18
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/29 00:00:00.000;4.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/01 00:00:00.000;5.92
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/08/05 00:00:00.000;6.05
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/16 00:00:00.000;6.43
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/21 00:00:00.000;6.43
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/07 00:00:00.000;6.18
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/09 00:00:00.000;6.85
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/02 00:00:00.000;6.68
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/12 00:00:00.000;6.85
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/06/01 00:00:00.000;5.62
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/19 00:00:00.000;6.43
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/26 00:00:00.000;7.19
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/28 00:00:00.000;7.68
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/09/30 00:00:00.000;7.43
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/12 00:00:00.000;6.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/03 00:00:00.000;7.75
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/05 00:00:00.000;7.75
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/14 00:00:00.000;6.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/07 00:00:00.000;7.75
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/17 00:00:00.000;6.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/10 00:00:00.000;7.75
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/24 00:00:00.000;6.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/31 00:00:00.000;6.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/02 00:00:00.000;6.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/09 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/04 00:00:00.000;8.0
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/28 00:00:00.000;6.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/21 00:00:00.000;6.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/19 00:00:00.000;6.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/07 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/10/26 00:00:00.000;6.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/25 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/14 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/23 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/18 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/11 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/16 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/11/21 00:00:00.000;8.2
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/28 00:00:00.000;6.82
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/13 00:00:00.000;4.82
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/09 00:00:00.000;5.3
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/06 00:00:00.000;5.3
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/03 00:00:00.000;6.46
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/11 00:00:00.000;5.0
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2022/12/30 00:00:00.000;5.95
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/23 00:00:00.000;4.55
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/27 00:00:00.000;4.55
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/25 00:00:00.000;4.6
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/01/30 00:00:00.000;4.57
