codigo_estacao,nome,sigla_uf,regiao_inmet,lat,lon,altitude,ano_primeiro,ano_ultimo,n_anos,data_fundacao
A102,PARQUE ESTADUAL CHANDLESS,AC,N,-9.35833333,-69.92638888,184.51,2014,2026,13,2008-08-05
A104,RIO BRANCO,AC,N,-9.95916666,-67.86888888,163.0,2014,2026,13,2008-07-11
A108,CRUZEIRO DO SUL,AC,N,-7.61055555,-72.6811111,220.0,2015,2026,12,2015-05-14
A136,PORTO WALTER,AC,N,-8.26722221,-72.74777777,205.35,2014,2026,13,2009-10-29
A137,MARECHAL THAUMATURGO,AC,N,-8.95,-72.78666666,220.98,2014,2025,12,2009-10-27
A138,FEIJO,AC,N,-8.14277777,-70.3436111,157.17,2014,2026,13,2009-09-24
A140,EPITACIOLANDIA,AC,N,-11.02388888,-68.73527777,224.5,2014,2026,13,2009-09-25
A303,MACEIO,AL,NE,-9.55111111,-35.77027777,84.12,2014,2026,13,2003-02-25
A323,PAO DE ACUCAR,AL,NE,-9.74916666,-37.43083332,20.83,2014,2026,13,2007-07-14
A327,PALMEIRA DOS INDIOS,AL,NE,-9.42027777,-36.62027777,278.01,2014,2026,13,2007-07-11
A353,ARAPIRACA,AL,NE,-9.80444444,-36.61916666,236.84,2014,2026,13,2008-04-27
A355,CORURIPE,AL,NE,-10.1286111,-36.28638888,82.39,2014,2026,13,2008-09-06
A356,SAO LUIS DO QUITUNDE,AL,NE,-9.28749999,-35.56583333,13.69,2014,2026,13,2008-09-08
A371,PIRANHAS,AL,NE,-9.62222221,-37.76722221,187.0,2017,2026,10,2017-09-20
A101,MANAUS,AM,N,-3.10333333,-60.01638888,61.25,2014,2026,13,2000-05-09
A109,EIRUNEPE,AM,N,-6.65027777,-69.8686111,121.54,2014,2026,13,2012-08-31
A110,BOCA DO ACRE,AM,N,-8.77666666,-67.33249999,111.98,2014,2026,13,2008-07-15
A111,LABREA,AM,N,-7.26055555,-64.7886111,61.91,2014,2026,13,2008-07-27
A112,HUMAITA,AM,N,-7.5525,-63.07138888,53.56,2014,2026,13,2008-04-25
A113,APUI,AM,N,-7.20555555,-59.8886111,156.97,2014,2026,13,2008-07-19
A117,COARI,AM,N,-4.09749999,-63.14527777,33.84,2014,2026,13,2008-04-12
A119,MANACAPURU,AM,N,-3.29472221,-60.62833332,36.57,2014,2026,13,2008-04-10
A120,AUTAZES,AM,N,-3.58333333,-59.12944443,19.9,2014,2026,13,2008-04-17
A121,ITACOATIARA,AM,N,-3.13333333,-58.48277777,41.54,2014,2026,13,2008-04-17
A122,MAUES,AM,N,-3.39888888,-57.67388888,25.49,2014,2026,13,2008-04-22
A123,PARINTINS,AM,N,-2.63916666,-56.75611111,18.72,2014,2026,13,2008-04-11
A124,URUCARA,AM,N,-2.53472221,-57.75805555,18.49,2014,2026,13,2008-04-17
A125,RIO URUBU,AM,N,-2.6336111,-59.60055555,112.84,2014,2026,13,2008-06-26
A126,PRESIDENTE FIGUEIREDO,AM,N,-2.05666666,-60.02583332,60.99,2014,2026,13,2008-04-19
A128,BARCELOS,AM,N,-0.98722221,-62.92416666,29.88,2014,2026,13,2008-04-19
A133,MANICORE,AM,N,-5.7886111,-61.28833333,40.64,2014,2026,13,2011-12-12
A134,S. G. DA CACHOEIRA,AM,N,-0.12527777,-67.06111111,79.67,2014,2026,13,2011-08-31
A144,NOVO ARIPUANA,AM,N,-8.0911111,-60.38055554,45.0,2019,2026,8,2019-07-18
S102,PEF IPIRANGA,AM,N,-2.93055554,-69.69527777,,2016,2018,3,2016-12-01
