ano_mes,sigla_uf,sigla_uf_nome,produto,unidade_medida,preco_compra_medio,preco_venda_medio,quantidade_registros
2004-05,AC,Acre,Diesel,R$/litro,1.4119741379310342,1.6813580246913575,162
2004-05,AC,Acre,Etanol,R$/litro,1.0193544117647062,1.6592307692307693,104
2004-05,AC,Acre,Gasolina,R$/litro,1.8404059829059831,2.3549393939393926,165
2004-05,AC,Acre,Glp,R$/13kg,32.712173913043479,36.328571428571422,70
2004-05,AL,Alagoas,Diesel,R$/litro,1.2140860700389102,1.3634570637119126,361
2004-05,AL,Alagoas,Etanol,R$/litro,0.9124654545454548,1.1470251396648041,358
2004-05,AL,Alagoas,Gasolina,R$/litro,1.7346817777777777,2.1079648648648663,370
2004-05,AL,Alagoas,Glp,R$/13kg,25.188114285714288,31.844262295081975,61
2004-05,AL,Alagoas,Gnv,R$/m3,0.78814,1.0806666666666669,9
2004-05,AM,Amazonas,Diesel,R$/litro,1.2980249230769234,1.4758692493946732,413
2004-05,AM,Amazonas,Etanol,R$/litro,1.0655522981366468,1.3569067357512958,193
2004-05,AM,Amazonas,Gasolina,R$/litro,1.6941645730027539,2.0089019607843133,459
2004-05,AM,Amazonas,Glp,R$/13kg,27.200460829493085,28.843670886075945,316
2004-05,AP,Amapá,Diesel,R$/litro,1.2965997272727274,1.5163986928104576,153
2004-05,AP,Amapá,Etanol,R$/litro,1.4021783783783786,1.7855555555555553,45
2004-05,AP,Amapá,Gasolina,R$/litro,1.8848372727272726,2.1637777777777782,153
2004-05,AP,Amapá,Glp,R$/13kg,27.572214285714285,34.94146341463415,41
2004-05,BA,Bahia,Diesel,R$/litro,1.179064881050043,1.3279437984496147,1548
2004-05,BA,Bahia,Etanol,R$/litro,0.96235546739130418,1.3481604855023614,1483
2004-05,BA,Bahia,Gasolina,R$/litro,1.7224770583941607,2.016599187935034,1724
2004-05,BA,Bahia,Glp,R$/13kg,25.399294871794858,32.03453724604973,886
2004-05,BA,Bahia,Gnv,R$/m3,0.72005423728813567,1.079,61
2004-05,CE,Ceará,Diesel,R$/litro,1.360598108108108,1.5216890308839186,939
2004-05,CE,Ceará,Etanol,R$/litro,1.0695534403669724,1.3229739524348818,883
2004-05,CE,Ceará,Gasolina,R$/litro,1.7995719589257513,2.1332304687500017,1024
2004-05,CE,Ceará,Glp,R$/13kg,26.302473076923079,31.669502617801029,382
