ano_agricola;safra;uf;produto;id_produto;id_levantamento;dsc_levantamento;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
2017/18             ;UNICA          ;AC;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;AL;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;AM;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;AP;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;BA;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;263.7;1246;4.7
2017/18             ;1ª SAFRA       ;CE;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;1.2;1;0.8
2017/18             ;UNICA          ;DF;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;ES;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;GO;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;33;135.3;4.1
2017/18             ;UNICA          ;MA;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;22.3;87.3;3.9
2017/18             ;UNICA          ;MG;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;25;99.2;4
2017/18             ;UNICA          ;MS;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;30.4;136.8;4.5
2017/18             ;UNICA          ;MT;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;777.8;3225.5;4.1
2017/18             ;UNICA          ;PA;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;PB;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0.5;0.4;0.8
2017/18             ;UNICA          ;PE;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;PI;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;7.2;27.7;3.8
2017/18             ;UNICA          ;PR;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;RJ;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;RN;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0.3;1.3;4.3
2017/18             ;UNICA          ;RO;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;RR;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;4.8;20.2;4.2
2017/18             ;UNICA          ;RS;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;SC;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;SE;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;SP;ALGODAO EM CAROCO                       ;4585; 012;12º LEV             ;5.7;21.7;3.8
