sigla_uf,primeiro_mes,ultimo_mes,meses_com_dado,meses_na_janela,pct_cobertura,buracos_internos
AL,2015-01,2026-06,138,138,100.0,0
BA,2015-01,2026-06,138,138,100.0,0
CE,2015-01,2026-06,138,138,100.0,0
MA,2015-01,2026-06,138,138,100.0,0
PB,2015-01,2026-06,138,138,100.0,0
PE,2015-01,2026-06,138,138,100.0,0
PI,2015-01,2026-06,138,138,100.0,0
RN,2015-01,2026-06,138,138,100.0,0
SE,2015-01,2026-06,137,138,99.3,1
MG,2018-11,2026-06,92,138,66.7,0
ES,2019-04,2026-06,87,138,63.0,0
TO,2019-12,2026-06,79,138,57.2,0
RJ,2020-05,2026-06,74,138,53.6,0
GO,2020-06,2026-06,73,138,52.9,0
DF,2020-07,2026-06,72,138,52.2,0
MS,2020-07,2026-06,72,138,52.2,0
PR,2020-08,2026-06,71,138,51.4,0
RS,2020-08,2026-06,71,138,51.4,0
SC,2020-08,2026-06,71,138,51.4,0
SP,2020-11,2026-06,68,138,49.3,0
MT,2021-06,2026-06,61,138,44.2,0
RO,2022-08,2026-06,47,138,34.1,0
AC,2022-11,2026-06,44,138,31.9,0
AM,2022-12,2026-06,43,138,31.2,0
PA,2023-04,2026-06,39,138,28.3,0
RR,2023-11,2026-06,32,138,23.2,0
AP,2023-12,2026-06,31,138,22.5,0
