coluna,descricao,unidade,fonte,granularidade_nativa,pct_nulos,observacao
sigla_uf,"UF, uma das 16 áreas urbanas do IPCA",—,IBGE (dim_uf),chave (UF),0.0,
nome_uf,nome por extenso da UF,—,IBGE (dim_uf),descritiva,0.0,
regiao,macrorregião do IBGE,—,IBGE (dim_uf),descritiva,0.0,
ano_mes,"mês de referência, Period[M]",mês,IBGE (dim_uf),chave (tempo),0.0,
ano,componente de ano_mes,ano,IBGE (dim_uf),derivada,0.0,
mes,componente de ano_mes — útil como sazonal,1-12,IBGE (dim_uf),derivada,0.0,
ipca_peso_alimentacao,peso do grupo 1 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_arroz,peso do subitem 1101002 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_farinhas,peso do subgrupo 1102 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_batata_inglesa,peso do subitem 1103003 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_tomate,peso do subitem 1103028 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_acucares,peso do subgrupo 1104 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_hortalicas,peso do subgrupo 1105 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_carnes,peso do subgrupo 1107 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_carnes_industrializadas,peso do subgrupo 1109 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_aves_ovos,peso do subgrupo 1110 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_frango_inteiro,peso do subitem 1110009 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_frango_pedacos,peso do subitem 1110010 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_leites_derivados,peso do subgrupo 1111 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_leite_longa_vida,peso do subitem 1111004 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_pao_frances,peso do subitem 1112015 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_oleo_soja,peso do subitem 1113013 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_peso_cafe_moido,peso do subitem 1114022 na cesta do IPCA da UF — NÃO somar entre colunas,% do orçamento,IBGE/SIDRA,UF × mês,0.0,
ipca_var_alimentacao,variação % no mês do grupo 1 (alimentacao),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_arroz,variação % no mês do subitem 1101002 (arroz),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_farinhas,variação % no mês do subgrupo 1102 (farinhas),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_batata_inglesa,variação % no mês do subitem 1103003 (batata inglesa),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_tomate,variação % no mês do subitem 1103028 (tomate),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_acucares,variação % no mês do subgrupo 1104 (acucares),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_hortalicas,variação % no mês do subgrupo 1105 (hortalicas),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_carnes,variação % no mês do subgrupo 1107 (carnes),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_carnes_industrializadas,variação % no mês do subgrupo 1109 (carnes industrializadas),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_aves_ovos,variação % no mês do subgrupo 1110 (aves ovos),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_frango_inteiro,variação % no mês do subitem 1110009 (frango inteiro),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_frango_pedacos,variação % no mês do subitem 1110010 (frango pedacos),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_leites_derivados,variação % no mês do subgrupo 1111 (leites derivados),%,IBGE/SIDRA,UF × mês,0.0,
ipca_var_leite_longa_vida,variação % no mês do subitem 1111004 (leite longa vida),%,IBGE/SIDRA,UF × mês,0.0,
