sigla_uf,ano,dias_no_ano,dias_validos,estacoes_validas,pct_cobertura
AC,2015,365,365,7,100.0
AC,2016,366,366,7,100.0
AC,2017,365,365,7,100.0
AC,2018,365,365,7,100.0
AC,2019,365,365,7,100.0
AC,2020,366,366,7,100.0
AC,2021,365,357,3,97.8
AC,2022,365,356,2,97.5
AC,2023,365,365,5,100.0
AC,2024,366,366,4,100.0
AC,2025,365,365,4,100.0
AC,2026,152,152,4,100.0
AL,2015,365,365,6,100.0
AL,2016,366,366,6,100.0
AL,2017,365,365,7,100.0
AL,2018,365,365,7,100.0
AL,2019,365,365,7,100.0
AL,2020,366,366,7,100.0
AL,2021,365,365,5,100.0
AL,2022,365,365,6,100.0
AL,2023,365,365,7,100.0
AL,2024,366,366,7,100.0
AL,2025,365,365,6,100.0
AL,2026,152,152,5,100.0
AM,2015,365,365,18,100.0
AM,2016,366,366,18,100.0
AM,2017,365,365,21,100.0
AM,2018,365,365,21,100.0
AM,2019,365,365,19,100.0
AM,2020,366,366,16,100.0
AM,2021,365,365,8,100.0
AM,2022,365,365,18,100.0
AM,2023,365,365,18,100.0
AM,2024,366,366,17,100.0
AM,2025,365,365,13,100.0
AM,2026,152,152,9,100.0
AP,2015,365,290,2,79.5
AP,2016,366,366,2,100.0
AP,2017,365,308,3,84.4
AP,2018,365,365,3,100.0
AP,2019,365,365,4,100.0
AP,2020,366,366,2,100.0
AP,2021,365,162,2,44.4
AP,2022,365,274,4,75.1
AP,2023,365,365,4,100.0
AP,2024,366,366,4,100.0
AP,2025,365,365,3,100.0
AP,2026,152,152,3,100.0
BA,2015,365,365,42,100.0
BA,2016,366,366,46,100.0
BA,2017,365,365,46,100.0
BA,2018,365,365,48,100.0
BA,2019,365,365,47,100.0
BA,2020,366,366,46,100.0
BA,2021,365,365,37,100.0
BA,2022,365,365,41,100.0
BA,2023,365,365,43,100.0
BA,2024,366,366,44,100.0
BA,2025,365,365,27,100.0
BA,2026,152,152,21,100.0
CE,2015,365,365,14,100.0
CE,2016,366,366,14,100.0
CE,2017,365,365,14,100.0
CE,2018,365,365,16,100.0
CE,2019,365,365,16,100.0
CE,2020,366,366,14,100.0
CE,2021,365,365,9,100.0
CE,2022,365,365,14,100.0
CE,2023,365,365,16,100.0
CE,2024,366,366,15,100.0
CE,2025,365,365,5,100.0
CE,2026,152,152,3,100.0
DF,2015,365,365,3,100.0
DF,2016,366,366,3,100.0
DF,2017,365,365,5,100.0
DF,2018,365,365,5,100.0
DF,2019,365,365,5,100.0
DF,2020,366,366,5,100.0
DF,2021,365,365,5,100.0
DF,2022,365,365,5,100.0
DF,2023,365,365,5,100.0
DF,2024,366,366,5,100.0
DF,2025,365,365,5,100.0
DF,2026,152,152,5,100.0
ES,2015,365,365,9,100.0
ES,2016,366,366,9,100.0
ES,2017,365,365,13,100.0
ES,2018,365,365,13,100.0
ES,2019,365,365,13,100.0
ES,2020,366,366,13,100.0
ES,2021,365,365,13,100.0
ES,2022,365,365,13,100.0
ES,2023,365,365,12,100.0
ES,2024,366,366,12,100.0
ES,2025,365,365,11,100.0
ES,2026,152,152,11,100.0
GO,2015,365,365,22,100.0
GO,2016,366,366,22,100.0
GO,2017,365,365,24,100.0
GO,2018,365,365,26,100.0
GO,2019,365,365,26,100.0
GO,2020,366,366,24,100.0
GO,2021,365,365,26,100.0
GO,2022,365,365,26,100.0
GO,2023,365,365,26,100.0
GO,2024,366,366,26,100.0
GO,2025,365,365,25,100.0
GO,2026,152,152,25,100.0
MA,2015,365,365,16,100.0
MA,2016,366,366,16,100.0
MA,2017,365,365,17,100.0
MA,2018,365,365,17,100.0
MA,2019,365,365,17,100.0
MA,2020,366,366,16,100.0
MA,2021,365,365,10,100.0
MA,2022,365,365,16,100.0
MA,2023,365,365,16,100.0
MA,2024,366,366,16,100.0
MA,2025,365,365,14,100.0
MA,2026,152,152,10,100.0
MG,2015,365,365,56,100.0
MG,2016,366,366,60,100.0
MG,2017,365,365,67,100.0
MG,2018,365,365,67,100.0
MG,2019,365,365,67,100.0
MG,2020,366,366,66,100.0
MG,2021,365,365,67,100.0
MG,2022,365,365,68,100.0
MG,2023,365,365,68,100.0
MG,2024,366,366,68,100.0
MG,2025,365,365,68,100.0
MG,2026,152,152,62,100.0
MS,2015,365,365,28,100.0
MS,2016,366,366,28,100.0
MS,2017,365,365,28,100.0
MS,2018,365,365,45,100.0
MS,2019,365,365,44,100.0
