sigla_uf,ano,mes,categoria,pontos,id_registro,n_revisoes,n_valores_distintos,pontos_vigente,descartado
AL,2014,7,S4,0.0,340,2,2,33.0,True
AL,2014,7,S4,33.0,595,2,2,33.0,False
AL,2014,9,S1,4750.0,347,3,2,4750.0,False
AL,2014,9,S1,694.0,392,3,2,4750.0,True
AL,2014,9,S1,4750.0,427,3,2,4750.0,False
AL,2014,9,S2,806.0,348,3,2,806.0,False
AL,2014,9,S2,0.0,393,3,2,806.0,True
AL,2014,9,S2,806.0,428,3,2,806.0,False
AL,2017,6,S0,10000.0,2146,2,2,2124.0,True
AL,2017,6,S0,2124.0,2166,2,2,2124.0,False
AL,2017,6,S1,1459.0,2147,2,2,880.0,True
AL,2017,6,S1,880.0,2167,2,2,880.0,False
AL,2017,6,S2,454.0,2148,2,2,3.0,True
AL,2017,6,S2,3.0,2168,2,2,3.0,False
AL,2017,7,S0,2124.0,2211,2,2,1892.0,True
AL,2017,7,S0,1892.0,2256,2,2,1892.0,False
AL,2017,7,S1,880.0,2212,2,2,713.0,True
AL,2017,7,S1,713.0,2257,2,2,713.0,False
AL,2017,7,S2,3.0,2213,2,2,0.0,True
AL,2017,7,S2,0.0,2258,2,2,0.0,False
AL,2017,8,S1,9.0,2302,2,2,98.0,True
AL,2017,8,S1,98.0,2307,2,2,98.0,False
AL,2017,9,S0,1000.0,2366,2,2,998.0,True
AL,2017,9,S0,998.0,2421,2,2,998.0,False
AL,2020,3,S1,3221.0,4277,2,2,3220.0,True
AL,2020,3,S1,3220.0,4407,2,2,3220.0,False
BA,2015,2,S1,5754.0,87,2,2,5740.0,True
BA,2015,2,S1,5740.0,477,2,2,5740.0,False
BA,2015,4,S0,9847.0,711,3,2,9847.0,False
BA,2015,4,S0,984700.0,796,3,2,9847.0,True
BA,2015,4,S0,9847.0,801,3,2,9847.0,False
BA,2015,4,S1,6650.0,712,3,2,6650.0,False
BA,2015,4,S1,665000.0,797,3,2,6650.0,True
BA,2015,4,S1,6650.0,802,3,2,6650.0,False
BA,2015,4,S2,1847.0,713,3,2,1847.0,False
BA,2015,4,S2,184700.0,798,3,2,1847.0,True
BA,2015,4,S2,1847.0,803,3,2,1847.0,False
BA,2015,4,S3,1047.0,714,3,2,1047.0,False
BA,2015,4,S3,104700.0,799,3,2,1047.0,True
BA,2015,4,S3,1047.0,804,3,2,1047.0,False
BA,2016,6,S4,0.0,1550,4,2,0.0,False
BA,2016,6,S4,0.0,1570,4,2,0.0,False
BA,2016,6,S4,123456.0,1575,4,2,0.0,True
BA,2016,6,S4,0.0,1580,4,2,0.0,False
BA,2017,4,S1,8666.0,2037,2,2,8966.0,True
BA,2017,4,S1,8966.0,2052,2,2,8966.0,False
BA,2017,6,S0,9184.0,2156,2,2,9133.0,True
BA,2017,6,S0,9133.0,2176,2,2,9133.0,False
BA,2017,6,S1,8512.0,2157,2,2,8300.0,True
BA,2017,6,S1,8300.0,2177,2,2,8300.0,False
BA,2017,6,S2,7116.0,2158,2,2,7305.0,True
BA,2017,6,S2,7305.0,2178,2,2,7305.0,False
BA,2017,6,S3,6240.0,2159,2,2,6336.0,True
BA,2017,6,S3,6336.0,2179,2,2,6336.0,False
BA,2017,6,S4,3582.0,2160,2,2,3660.0,True
BA,2017,6,S4,3660.0,2180,2,2,3660.0,False
BA,2017,7,S0,9133.0,2216,2,2,8414.0,True
BA,2017,7,S0,8414.0,2266,2,2,8414.0,False
BA,2017,7,S1,8300.0,2217,2,2,8032.0,True
BA,2017,7,S1,8032.0,2267,2,2,8032.0,False
